City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Kudahuvadhoo,MV,82.69,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
7,San Andres,CO,87.82,few clouds,12.5847,-81.7006,Hotel Arena Blanca
12,Isangel,VU,76.77,clear sky,-19.55,169.2667,Tanna Lodge
14,Lorengau,PG,80.91,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
15,Vila Do Maio,CV,77.79,few clouds,15.1333,-23.2167,Hotel Marilu
23,Cabo San Lucas,MX,87.1,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
26,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
28,Acari,PE,76.08,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
29,Tarpon Springs,US,80.29,clear sky,28.1461,-82.7568,"Innisbrook, A Salamander Golf and Spa Resort"
41,Ahuimanu,US,81.79,clear sky,21.4447,-157.8378,Paradise Bay Resort
43,Kapaa,US,80.58,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
48,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
50,Umm Kaddadah,SD,83.73,clear sky,13.6017,26.6876,
53,Hilo,US,79.25,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
56,Sao Miguel Do Araguaia,BR,75.11,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
60,Ouegoa,NC,76.82,few clouds,-20.35,164.4333,
61,Kununurra,AU,80.58,scattered clouds,-15.7667,128.7333,Hotel Kununurra
67,Faanui,PF,78.12,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
71,Banjar,ID,78.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
72,Acarau,BR,85.55,clear sky,-2.8856,-40.12,castelo pizzaria
74,Morant Bay,JM,86.63,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
77,Wildomar,US,92.48,clear sky,33.5989,-117.28,The Overlook Venue
78,Axim,GH,79.99,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
96,Tagusao,PH,78.42,overcast clouds,9.1924,117.8141,Toledo
101,Hithadhoo,MV,82.02,few clouds,-0.6,73.0833,Scoop Guest House
107,Carutapera,BR,83.34,few clouds,-1.195,-46.02,Lidera
111,Sur,OM,77.0,clear sky,22.5667,59.5289,Sur Plaza Hotel
112,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
124,Luwuk,ID,78.03,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
125,Port Blair,IN,77.74,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
126,Butaritari,KI,82.18,light rain,3.0707,172.7902,Isles Sunset Lodge
130,Keffi,NG,82.78,overcast clouds,8.8486,7.8736,Imam Family
131,Yacuiba,BO,93.97,broken clouds,-22.038,-63.6797,Hotel Monumental
133,Coahuayana,MX,87.28,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
136,Wewak,PG,80.08,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
137,Mana,GF,82.17,broken clouds,5.6592,-53.7767,LE SAMANA
139,Alta Floresta,BR,89.42,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
146,Panalingaan,PH,77.68,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
