City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cidreira,BR,2021-11-12 19:27:34,-30.1811,-50.2056,66.72,63,94,16.17,overcast clouds
1,Albany,US,2021-11-12 19:27:34,42.6001,-73.9662,57.27,85,100,3.0,overcast clouds
2,Camacha,PT,2021-11-12 19:27:35,33.0833,-16.3333,63.82,63,40,8.05,scattered clouds
3,Cape Town,ZA,2021-11-12 19:25:06,-33.9258,18.4232,66.11,84,20,1.99,few clouds
4,Qaanaaq,GL,2021-11-12 19:27:35,77.484,-69.3632,-6.29,58,0,8.7,clear sky
5,Flin Flon,CA,2021-11-12 19:27:35,54.7682,-101.865,24.64,68,90,9.22,overcast clouds
6,Kudahuvadhoo,MV,2021-11-12 19:27:36,2.6708,72.8944,82.69,76,13,19.39,few clouds
7,San Andres,CO,2021-11-12 19:27:36,12.5847,-81.7006,87.82,66,20,12.66,few clouds
8,Ushuaia,AR,2021-11-12 19:27:37,-54.8,-68.3,55.06,54,75,14.97,broken clouds
9,Thompson,CA,2021-11-12 19:26:36,55.7435,-97.8558,24.96,74,90,9.22,overcast clouds
10,Caravelas,BR,2021-11-12 19:27:37,-17.7125,-39.2481,71.33,94,100,13.98,overcast clouds
11,Lasa,IT,2021-11-12 19:27:37,46.6166,10.7002,47.28,83,18,1.48,few clouds
12,Isangel,VU,2021-11-12 19:22:47,-19.55,169.2667,76.77,84,3,4.92,clear sky
13,Mataura,NZ,2021-11-12 19:27:38,-46.1927,168.8643,51.62,100,100,0.89,overcast clouds
14,Lorengau,PG,2021-11-12 19:27:38,-2.0226,147.2712,80.91,80,98,1.74,overcast clouds
15,Vila Do Maio,CV,2021-11-12 19:27:39,15.1333,-23.2167,77.79,73,24,12.77,few clouds
16,Port Alfred,ZA,2021-11-12 19:27:39,-33.5906,26.891,62.98,81,6,3.15,clear sky
17,Jamestown,US,2021-11-12 19:25:41,42.097,-79.2353,53.19,54,75,8.01,light rain
18,Nikolskoye,RU,2021-11-12 19:27:40,59.7035,30.7861,40.87,83,100,9.48,overcast clouds
19,Saint-Pierre,RE,2021-11-12 19:27:40,-21.3393,55.4781,73.08,68,0,3.44,clear sky
20,Te Anau,NZ,2021-11-12 19:27:40,-45.4167,167.7167,49.06,98,100,1.95,overcast clouds
21,Korla,CN,2021-11-12 19:27:41,41.7597,86.1469,31.6,36,2,3.53,clear sky
22,Norman Wells,CA,2021-11-12 19:27:41,65.282,-126.8329,21.24,73,90,12.66,overcast clouds
23,Cabo San Lucas,MX,2021-11-12 19:27:41,22.8909,-109.9124,87.1,64,1,1.01,clear sky
24,Duiwelskloof,ZA,2021-11-12 19:27:41,-23.6934,30.14,64.74,82,100,4.81,light rain
25,Victoria,HK,2021-11-12 19:27:42,22.2855,114.1577,73.26,54,100,1.01,overcast clouds
26,Avarua,CK,2021-11-12 19:27:42,-21.2078,-159.775,78.85,78,20,14.97,few clouds
27,Dunedin,NZ,2021-11-12 19:27:42,-45.8742,170.5036,52.47,93,100,2.3,light rain
28,Acari,PE,2021-11-12 19:23:14,-15.4311,-74.6158,76.08,54,92,11.39,overcast clouds
29,Tarpon Springs,US,2021-11-12 19:27:43,28.1461,-82.7568,80.29,72,1,3.0,clear sky
30,Tuktoyaktuk,CA,2021-11-12 19:27:43,69.4541,-133.0374,6.8,92,90,2.3,overcast clouds
31,Port Hawkesbury,CA,2021-11-12 19:27:43,45.6169,-61.3485,42.87,72,1,1.99,clear sky
32,Anadyr,RU,2021-11-12 19:27:44,64.75,177.4833,23.5,86,90,8.95,light snow
33,Tuatapere,NZ,2021-11-12 19:27:44,-46.1333,167.6833,50.36,98,100,2.8,overcast clouds
34,Vikhorevka,RU,2021-11-12 19:27:44,56.1201,101.1636,26.19,93,91,5.06,overcast clouds
35,Klaksvik,FO,2021-11-12 19:27:45,62.2266,-6.589,47.32,92,100,35.68,overcast clouds
36,Yellowknife,CA,2021-11-12 19:27:45,62.456,-114.3525,31.41,89,90,19.57,overcast clouds
37,Ust-Uda,RU,2021-11-12 19:27:45,54.1742,103.0304,21.88,95,100,3.47,overcast clouds
38,Torbay,CA,2021-11-12 19:27:46,47.6666,-52.7314,37.27,83,75,19.57,broken clouds
39,Prince Rupert,CA,2021-11-12 19:25:32,54.3161,-130.3201,49.69,84,90,11.5,moderate rain
40,Krasnyy Chikoy,RU,2021-11-12 19:27:46,50.3643,108.7512,24.76,91,81,3.74,broken clouds
