City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jamestown,US,2021-11-09 21:24:26,42.097,-79.2353,63.72,78,90,1.01
1,Ushuaia,AR,2021-11-09 21:27:23,-54.8,-68.3,67.66,34,75,19.57
2,Aitape,PG,2021-11-09 21:27:24,-3.1374,142.3475,79.52,86,50,6.78
3,Hilo,US,2021-11-09 21:22:33,19.7297,-155.09,82.26,66,1,6.91
4,Motozintla,MX,2021-11-09 21:27:24,15.3667,-92.2333,73.49,71,34,3.51
5,Sechura,PE,2021-11-09 21:27:24,-5.5569,-80.8222,74.91,59,84,14.52
6,Ribeira Grande,PT,2021-11-09 21:27:25,38.5167,-28.7,63.0,82,20,6.91
7,Funadhoo,MV,2021-11-09 21:27:25,6.15,73.2667,81.46,78,100,15.32
8,Bengkulu,ID,2021-11-09 21:27:26,-3.8004,102.2655,76.78,88,100,5.17
9,Faanui,PF,2021-11-09 21:27:26,-16.4833,-151.75,79.57,72,21,10.29
10,Cam Ranh,VN,2021-11-09 21:27:26,11.9214,109.1591,80.56,78,75,10.36
11,Beysehir,TR,2021-11-09 21:27:27,37.6773,31.7246,54.91,34,95,0.63
12,Salalah,OM,2021-11-09 21:27:27,17.0151,54.0924,78.89,65,0,3.44
13,Sovetskiy,RU,2021-11-09 21:27:27,61.3614,63.5842,25.74,94,100,9.42
14,Mataura,NZ,2021-11-09 21:22:39,-46.1927,168.8643,61.52,66,100,1.12
15,Arona,ES,2021-11-09 21:27:28,28.0996,-16.681,61.32,66,40,13.8
16,Robe,AU,2021-11-09 21:27:28,-37.1833,139.75,53.01,56,34,13.76
17,Torres,BR,2021-11-09 21:27:28,-29.3353,-49.7269,65.82,69,5,7.78
18,Port Alfred,ZA,2021-11-09 21:27:29,-33.5906,26.891,61.3,74,0,7.25
19,New Norfolk,AU,2021-11-09 21:27:29,-42.7826,147.0587,53.74,84,100,1.32
20,East London,ZA,2021-11-09 21:24:10,-33.0153,27.9116,60.67,82,0,6.33
21,Prince Rupert,CA,2021-11-09 21:27:29,54.3161,-130.3201,44.29,73,100,14.97
22,Pevek,RU,2021-11-09 21:27:30,69.7008,170.3133,3.92,95,100,5.1
23,Beringovskiy,RU,2021-11-09 21:27:30,63.05,179.3167,16.74,99,93,5.86
24,Christchurch,NZ,2021-11-09 21:27:30,-43.5333,172.6333,63.95,77,75,1.01
25,Grafenau,DE,2021-11-09 21:27:31,48.8577,13.3974,39.45,77,100,3.85
26,Saint George,US,2021-11-09 21:27:06,37.1041,-113.5841,73.87,30,1,3.0
27,Mar Del Plata,AR,2021-11-09 21:27:31,-38.0023,-57.5575,57.22,83,20,8.01
28,Ossora,RU,2021-11-09 21:27:31,59.2353,163.0719,9.12,83,62,5.06
29,Punta Arenas,CL,2021-11-09 21:27:32,-53.15,-70.9167,71.71,15,0,20.71
30,Hobart,AU,2021-11-09 21:27:32,-42.8794,147.3294,54.1,95,75,1.01
31,Airai,TL,2021-11-09 21:27:32,-8.9266,125.4092,62.17,92,46,1.07
32,Coquimbo,CL,2021-11-09 21:23:23,-29.9533,-71.3436,62.33,72,20,10.36
33,Torbay,CA,2021-11-09 21:27:33,47.6666,-52.7314,41.76,90,1,1.01
34,Butaritari,KI,2021-11-09 21:27:33,3.0707,172.7902,82.26,75,66,16.91
35,Labuhan,ID,2021-11-09 21:26:34,-6.8844,112.2051,76.87,91,100,10.38
